"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1486","FUBP1",909.253880101524,0.11811721315922,0.145009094376483,0,1,1
"1487","PTGFR",13.9664836391048,0.0477415653959959,0.416162298116993,0,1,1
"1488","IFI44L",230.745340780535,-0.701506051912464,0.418704136686235,0,1,1
"1489","IFI44",92.517782477014,-0.454915411416592,0.27239571772763,0,1,1
"1490","LOC101927434",9.62399179570797,0.173514249068331,0.382633040711694,0,1,1
"1491","LINC01361",5.65131963818612,-1.15405571785474,0.470121680339857,-0.327693285158364,0.743143580979178,1
"1492","DNASE2B",3.61518129473436,-0.32134664971731,0.466478460918415,0,1,1
"1493","UOX",5.27154982423644,-0.0484237336047359,0.355249328813218,0,1,1
"1494","CTBS",94.0644104448385,-0.0747791783158676,0.202620685042199,0,1,1
"1495","RPF1",113.109630588869,-0.028693217193871,0.119281125368705,0,1,1
"1496","SPATA1",23.4876295519717,-0.132572818964503,0.242717525538705,0,1,1
"1497","GNG5",107.128503392845,-0.0174846550261216,0.212934274857392,0,1,1
"1498","LINC01555",0.604946133169814,-0.954135230377489,1.17635718822445,0,1,1
"1499","SSX2IP",1019.40140844082,-0.354306549077769,0.221502284937444,0,1,1
"1500","MCOLN3",3.16121438478011,1.17796762027682,0.499390120359035,0.356369926078771,0.721563548429968,1
"1501","SYDE2",112.049356485119,-0.159025043488983,0.159466288944721,0,1,1
"1502","MIR4423",0.187087509190539,0.0289081503295748,2.0185364252934,0,1,1
"1503","LOC646626",1.93975807467264,0.494434535088991,0.569788275606875,0,1,1
"1504","BCL10",83.7151321400792,-0.181923019466993,0.140130102161639,0,1,1
"1505","CYR61",218.132466386902,0.283738619240139,0.383647301599631,0,1,1
"1506","ZNHIT6",529.236628385463,0.257677846404917,0.122167184859788,0,1,1
"1507","ODF2L",381.745854779108,-0.108251256954482,0.175346592346813,0,1,1
"1508","MIR7856",0.0436387450460448,0.365539184982587,3.02618920828379,0,1,1
"1509","CLCA1",0.644551901780238,-0.205994765116167,1.24708444085695,0,1,1
"1510","CLCA3P",3.60610239018936,0.00892629638682062,0.4418214461065,0,1,1
"1511","SH3GLB1",1052.98036093034,-0.00468110947603696,0.137444332768343,0,1,1
"1512","SELENOF",455.884096799493,-0.14462274060118,0.169025190871207,0,1,1
"1513","LINC01140",45.9853324296455,-0.471154239832472,0.304307084494088,0,1,1
"1514","LMO4",1910.89982385209,-0.606478974266896,0.233261380842758,0,1,1
"1515","LINC01364",9.49917114115691,-0.191163811426925,0.270263038601591,0,1,1
"1516","GTF2B",110.068817392866,-0.201282746024444,0.143462666645316,0,1,1
"1517","GBP3",89.6094105759363,-0.41808459450003,0.313095063480425,0,1,1
"1518","RBMXL1",439.649115376614,0.000428919966773443,0.175595013201228,0,1,1
"1519","KYAT3",135.457891723414,-0.610817899766478,0.22828925172177,0,1,1
"1520","GBP2",199.612024650024,-0.488486584055098,0.317456732246809,0,1,1
"1521","GBP7",10.7598850138339,0.127178285513316,0.331307727188577,0,1,1
"1522","LOC729930",0.715636063697782,0.241475321143367,0.882353658947232,0,1,1
"1523","GBP5",12.6167866772108,-0.455578038149973,0.285921786963064,0,1,1
"1524","GBP1P1",9.38578367591693,-1.10309792314687,0.46424995649045,-0.22207416867898,0.824256146207639,1
"1525","GBP6",9.16159546331246,-1.6690605766068,0.410879397131852,-1.62836243743829,0.103448057437315,1
"1526","FLJ27354",49.4410064277842,0.142117826815981,0.297573294323703,0,1,1
"1527","ZNF326",745.226534628895,0.196637012155713,0.196784199559149,0,1,1
"1528","GEMIN8P4",20.9425040072665,-0.489185368305935,0.241616120662035,0,1,1
"1529","BARHL2",1.60650547156305,1.45823201789926,0.92279461577818,0.496569886802856,0.619492392884826,1
"1530","LOC105378853",61.5718103720011,0.161053236365753,0.196217456041624,0,1,1
"1531","ZNF644",1130.04686663817,0.446980087548507,0.21394161795846,0,1,1
"1532","CDC7",108.114073724104,-0.476172299908653,0.194682376707599,0,1,1
"1533","BRDT",1.88028539810271,-0.702629026888701,0.594930091365808,0,1,1
"1534","EPHX4",102.365955836998,-0.474887276084364,0.276734657550377,0,1,1
"1535","SETSIP",35.9867876808071,-0.182094646275887,0.324535197034366,0,1,1
"1536","BTBD8",139.265864094017,0.393954098589185,0.211428500384346,0,1,1
"1537","KIAA1107",1498.18510403228,-0.367060947976103,0.193056975282301,0,1,1
"1538","C1orf146",3.06015110077925,-0.655550061601806,0.463080513693308,0,1,1
"1539","GLMN",98.9630815144624,-0.379879836820121,0.168239843995528,0,1,1
"1540","GFI1",5.03862544353224,-0.556673729552381,0.484695820928875,0,1,1
"1541","RPL5",1035.09851481045,0.161042266043328,0.154815862153316,0,1,1
"1542","SNORD21",4.13234789228508,0.669118685532025,0.405039511569715,0,1,1
"1543","SNORA66",16.5596325648021,0.44226580728623,0.255183102474883,0,1,1
"1544","TMED5",477.256091133079,0.111819802450119,0.163075401355807,0,1,1
"1545","CCDC18-AS1",216.942372460061,0.175219534103773,0.217482162966487,0,1,1
"1546","DR1",392.16154718479,-0.0649789423845461,0.122334644851546,0,1,1
"1547","LOC100129046",24.9511036912332,0.694976329913774,0.246156646871039,0,1,1
"1548","MIR760",4.17365278314751,-0.059259606302304,0.392213774466368,0,1,1
"1549","DNTTIP2",433.569534586656,-0.212109301359494,0.0972147654192093,0,1,1
"1550","ARHGAP29",702.932341431179,-0.202344932237466,0.22991826860974,0,1,1
"1551","F3",1057.43175681663,-1.48925703877943,0.328001964313625,-1.49162838034598,0.135796593908786,1
"1552","MIR378G",0.798076757121183,0.372643671365281,0.992197516400479,0,1,1
"1553","CNN3",1883.34489494976,-0.327299967837903,0.210067352531566,0,1,1
"1554","ALG14",44.257492878851,-0.299823810082728,0.191660342509427,0,1,1
"1555","LOC101928098",3.59733810235751,-0.785257804934588,0.389969903725706,0,1,1
"1556","TMEM56",453.336636494995,-0.00813658591544582,0.226940376391161,0,1,1
"1557","RWDD3",52.912472923641,0.0545570184784806,0.141325968730385,0,1,1
"1558","LINC01760",0.13086768978994,-0.211536411631777,2.59829667288969,0,1,1
"1559","LOC100996635",106.433582523712,-0.146471608947002,0.371802407918455,0,1,1
"1560","DPYD-AS2",10.5321729053227,0.443066075535795,0.331649670635577,0,1,1
"1561","MIR137HG",217.778077111842,-0.329717234856247,0.181049458840676,0,1,1
"1562","MIR137",0,NA,NA,NA,NA,NA
"1563","MIR2682",24.2377960672952,-0.442552101432345,0.296769982536639,0,1,1
"1564","PLPPR5",153.495182513318,-0.449019982657392,0.163626194580116,0,1,1
"1565","LINC01708",0,NA,NA,NA,NA,NA
